county_name,FIPS,median_household_income_usd,family_poverty_rate_pct,Families (Below Poverty),unemployment_rate_pct,People (Unemployed),economic_vulnerability_z
"Autauga County, Alabama",01001,69841.0,8.1,1276.0,2.5,688.0,-0.5113229342151455
"Baldwin County, Alabama",01003,75019.0,7.3,4742.0,3.2,3615.0,-0.5650131695368729
"Barbour County, Alabama",01005,44290.0,17.7,1058.0,5.7,518.0,1.0325723973417562
"Bibb County, Alabama",01007,51215.0,16.0,843.0,10.0,936.0,1.3847471040828474
"Blount County, Alabama",01009,61096.0,10.3,1607.0,5.8,1586.0,0.25204887420979605
"Bullock County, Alabama",01011,36723.0,19.5,412.0,5.9,226.0,1.3200585363294348
"Butler County, Alabama",01013,44881.0,18.5,850.0,6.8,545.0,1.2240942339265573
"Calhoun County, Alabama",01015,55826.0,12.5,3490.0,6.4,3362.0,0.5762394615487366
"Chambers County, Alabama",01017,49295.0,12.3,1099.0,5.0,759.0,0.49544540031505596
"Cherokee County, Alabama",01019,50769.0,12.6,863.0,3.4,370.0,0.265551128339769
"Chilton County, Alabama",01021,61873.0,10.2,1232.0,5.4,1076.0,0.17557866876159625
"Choctaw County, Alabama",01023,44483.0,16.5,529.0,5.5,265.0,0.9246939702067861
"Clarke County, Alabama",01025,49167.0,13.1,698.0,13.2,1218.0,1.6805079297821484
"Clay County, Alabama",01027,51852.0,13.4,567.0,3.5,197.0,0.3096495559150187
"Cleburne County, Alabama",01029,53319.0,6.8,265.0,1.5,93.0,-0.41564803425564856
"Coffee County, Alabama",01031,64672.0,13.9,1950.0,4.3,999.0,0.20626798620269315
"Colbert County, Alabama",01033,56736.0,13.2,2030.0,3.3,884.0,0.1756888876389576
"Conecuh County, Alabama",01035,42266.0,17.3,483.0,8.3,316.0,1.4046198720437395
"Coosa County, Alabama",01037,57063.0,8.0,219.0,5.1,208.0,0.08596227531211209
"Covington County, Alabama",01039,50886.0,14.7,1404.0,4.6,723.0,0.5629188261111104
"Crenshaw County, Alabama",01041,49040.0,9.1,283.0,4.9,265.0,0.28231734795162194
"Cullman County, Alabama",01043,60916.0,9.9,2377.0,4.2,1739.0,0.009180164178656866
"Dale County, Alabama",01045,53955.0,14.9,1842.0,6.8,1299.0,0.8204552531562878
"Dallas County, Alabama",01047,36810.0,24.0,2126.0,10.9,1699.0,2.295542212962419
"DeKalb County, Alabama",01049,51149.0,14.6,2681.0,4.2,1359.0,0.49629905419256204
"Elmore County, Alabama",01051,75553.0,9.0,2131.0,3.9,1607.0,-0.37016120123139573
"Escambia County, Alabama",01053,44447.0,17.1,1391.0,9.1,1313.0,1.4604548083687838
"Etowah County, Alabama",01055,53070.0,12.0,3074.0,6.3,2911.0,0.5833480550190674
"Fayette County, Alabama",01057,50733.0,13.1,538.0,9.5,648.0,1.1399167061159592
"Franklin County, Alabama",01059,51493.0,13.6,1039.0,3.6,501.0,0.3430924545118894
"Geneva County, Alabama",01061,50951.0,14.1,997.0,4.9,571.0,0.5647811227185523
"Greene County, Alabama",01063,31495.0,28.4,482.0,3.3,82.0,1.629437703176386
"Hale County, Alabama",01065,41325.0,16.0,488.0,5.9,339.0,1.0085038939224096
"Henry County, Alabama",01067,60135.0,11.3,503.0,3.3,254.0,-0.010703400056224166
"Houston County, Alabama",01069,57531.0,13.8,3825.0,4.6,2220.0,0.37813666390975215
"Jackson County, Alabama",01071,49454.0,12.5,1761.0,5.4,1197.0,0.5603595851219206
"Jefferson County, Alabama",01073,64589.0,11.6,18919.0,4.8,15638.0,0.13007603765338047
"Lamar County, Alabama",01075,47447.0,10.4,358.0,6.4,357.0,0.6028004496590361
"Lauderdale County, Alabama",01077,59082.0,9.6,2369.0,3.9,1776.0,-0.016216147317914948
"Lawrence County, Alabama",01079,60040.0,9.6,859.0,2.1,304.0,-0.282965776506988
"Lee County, Alabama",01081,61123.0,9.6,3889.0,3.7,3197.0,-0.08292933529628521
"Limestone County, Alabama",01083,83534.0,6.5,1849.0,3.7,1915.0,-0.7102534836043403
"Lowndes County, Alabama",01085,35160.0,22.3,566.0,7.2,283.0,1.7080937991630278
"Macon County, Alabama",01087,45951.0,17.3,719.0,10.7,894.0,1.6651865605371352
"Madison County, Alabama",01089,83528.0,7.4,7606.0,3.8,7818.0,-0.6389034348464105
"Marengo County, Alabama",01091,44205.0,14.1,647.0,2.4,182.0,0.3490767983123748
"Marion County, Alabama",01093,50714.0,11.7,814.0,6.2,746.0,0.5955544090659628
"Marshall County, Alabama",01095,60946.0,12.4,3139.0,3.7,1607.0,0.09915128651257292
"Mobile County, Alabama",01097,58119.0,11.9,11982.0,5.3,10044.0,0.34221134490304167
"Monroe County, Alabama",01099,40225.0,17.1,765.0,11.9,853.0,1.927751196264282
"Montgomery County, Alabama",01101,58153.0,16.0,8709.0,6.0,6265.0,0.6998070582345911
"Morgan County, Alabama",01103,64858.0,10.1,3258.0,4.0,2288.0,-0.08120082884183866
"Perry County, Alabama",01105,34368.0,24.2,506.0,15.8,404.0,3.0312783098608542
"Pickens County, Alabama",01107,47014.0,15.8,680.0,6.5,477.0,0.9695116617476861
"Pike County, Alabama",01109,47961.0,11.8,826.0,3.9,592.0,0.3373078159381398
"Randolph County, Alabama",01111,51551.0,14.9,890.0,2.8,263.0,0.3145477949228204
"Russell County, Alabama",01113,50046.0,18.0,2677.0,6.6,1599.0,1.065603205058757
"St. Clair County, Alabama",01115,78993.0,7.6,1895.0,4.5,1981.0,-0.4426338012681858
"Shelby County, Alabama",01117,93543.0,4.5,2766.0,2.9,3463.0,-1.1400989852150056
"Sumter County, Alabama",01119,37981.0,19.7,608.0,8.6,400.0,1.6812987466223914
"Talladega County, Alabama",01121,56249.0,16.1,3581.0,8.1,2814.0,1.0324661951541187
"Tallapoosa County, Alabama",01123,57185.0,12.9,1412.0,7.5,1334.0,0.7275162054347021
"Tuscaloosa County, Alabama",01125,63947.0,11.5,6211.0,5.4,6310.0,0.21879451724972557
"Walker County, Alabama",01127,54509.0,13.2,2210.0,4.4,1188.0,0.370161759814612
"Washington County, Alabama",01129,60503.0,16.0,679.0,6.2,383.0,0.6823699473244429
"Wilcox County, Alabama",01131,42236.0,22.3,502.0,12.1,465.0,2.248660929751278
"Winston County, Alabama",01133,48032.0,13.7,892.0,4.2,421.0,0.49859847198430723
"Aleutians East Borough, Alaska",02013,72692.0,14.8,81.0,3.8,92.0,0.0410088698447215
"Aleutians West Census Area, Alaska",02016,107344.0,3.5,19.0,4.1,154.0,-1.3028088726908902
"Anchorage Borough, Alaska",02020,98152.0,5.8,3906.0,4.6,6811.0,-0.9108737530874218
"Bethel Census Area, Alaska",02050,70616.0,21.3,753.0,14.1,1077.0,1.9169508569031593
"Bristol Bay Borough, Alaska",02060,100625.0,1.7,3.0,4.0,19.0,-1.302714826273842
"Denali, Alaska",02068,88935.0,3.9,11.0,1.2,17.0,-1.3246712449978006
"Dillingham Census Area, Alaska",02070,74250.0,16.6,168.0,10.8,226.0,1.091984274971145
"Fairbanks North Star, Alaska",02090,84722.0,2.8,649.0,4.9,2118.0,-0.8035512769000817
"Haines Borough, Alaska",02100,72607.0,1.8,9.0,4.7,42.0,-0.6627924312117797
"Hoonah-Angoon Census Area, Alaska",02105,62500.0,6.6,34.0,16.9,213.0,1.5207580338466855
"Juneau Borough, Alaska",02110,100513.0,4.9,373.0,4.0,692.0,-1.0963529466498048
"Kenai Peninsula Borough, Alaska",02122,77722.0,7.0,997.0,6.9,1858.0,-0.12537940552127305
"Ketchikan Gateway Borough, Alaska",02130,89155.0,5.9,209.0,3.5,248.0,-0.8838651522846467
"Kodiak Island Borough, Alaska",02150,83716.0,6.5,209.0,4.8,306.0,-0.5619473319985883
"Kusilvak Census Area, Alaska",02158,48233.0,30.5,485.0,18.1,531.0,3.4850025250925367
"Lake and Peninsula Borough, Alaska",02164,64000.0,14.6,34.0,9.5,53.0,0.9813903753255447
"Matanuska-Susitna Borough, Alaska",02170,90625.0,7.4,2056.0,6.0,3024.0,-0.4713241451663106
"Nome Census Area, Alaska",02180,76643.0,18.6,376.0,15.8,696.0,1.863731805549541
"North Slope Borough, Alaska",02185,86313.0,11.4,186.0,6.6,437.0,-0.05062171772517998
"Northwest Arctic Borough, Alaska",02188,81298.0,16.0,220.0,16.3,488.0,1.6775943558605213
"Petersburg Census Area, Alaska",02195,77026.0,4.3,37.0,4.2,76.0,-0.6569332792312473
"Prince of Wales-Hyder Census Area, Alaska",02198,59079.0,12.1,173.0,8.1,233.0,0.7229619658677265
"Sitka Borough, Alaska",02220,101207.0,7.0,157.0,7.1,327.0,-0.5478533114687337
"Skagway Municipality, Alaska",02230,78594.0,4.6,10.0,9.5,83.0,0.0635336742701725
"Southeast Fairbanks Census Area, Alaska",02240,74223.0,11.0,167.0,6.9,209.0,0.19694571876771952
"Valdez-Cordova Census Area, Alaska",02261,85537.0,4.1,99.0,8.4,406.0,-0.25322655276223616
"Wrangell Borough, Alaska",02275,64545.0,8.4,42.0,3.5,31.0,-0.2526891824064378
"Yakutat City and Borough, Alaska",02282,80625.0,2.2,3.0,1.4,4.0,-1.2463067382693154
"Yukon-Koyukuk Census Area, Alaska",02290,52642.0,15.4,198.0,6.5,173.0,0.8361282286712145
"Apache County, Arizona",04001,40338.0,25.1,3425.0,10.0,2057.0,2.1739346183742523
"Cochise County, Arizona",04003,58970.0,11.1,3466.0,7.3,3392.0,0.5508378615218162
"Coconino County, Arizona",04005,69748.0,10.6,3327.0,6.6,4867.0,0.215780504114925
"Gila County, Arizona",04007,59089.0,10.9,1595.0,7.4,1521.0,0.549593305014402
"Graham County, Arizona",04009,67326.0,14.7,1336.0,6.3,955.0,0.48244906922566205
"Greenlee County, Arizona",04011,75239.0,8.3,181.0,3.5,151.0,-0.46401359357413713
"La Paz County, Arizona",04012,49506.0,15.2,822.0,10.8,660.0,1.4768406384345445
"Maricopa County, Arizona",04013,85518.0,7.8,86379.0,4.6,106930.0,-0.5411177206053988
"Mohave County, Arizona",04015,55799.0,11.4,6847.0,6.9,5662.0,0.5755551196368311
"Navajo County, Arizona",04017,52752.0,19.4,5342.0,8.8,3317.0,1.4066770668520883
"Pima County, Arizona",04019,67929.0,9.8,25159.0,5.7,28264.0,0.07539130597618625
"Pinal County, Arizona",04021,77588.0,7.8,8867.0,5.8,11246.0,-0.22355157155613944
"Santa Cruz County, Arizona",04023,53614.0,16.5,1995.0,10.5,2210.0,1.4396779898806369
"Yavapai County, Arizona",04025,66106.0,7.8,5260.0,4.2,4252.0,-0.22429879433329536
"Yuma County, Arizona",04027,60417.0,13.8,7582.0,8.1,6700.0,0.8058096504925341
"Arkansas County, Arkansas",05001,60831.0,8.7,368.0,6.8,543.0,0.29301425365330075
"Ashley County, Arkansas",05003,44481.0,17.0,744.0,6.1,423.0,1.0394377213705768
"Baxter County, Arkansas",05005,48427.0,9.0,1073.0,5.6,882.0,0.38427952272515015
"Benton County, Arkansas",05007,89879.0,5.7,4530.0,3.1,4763.0,-0.9657013853535387
"Boone County, Arkansas",05009,54195.0,8.6,864.0,3.9,673.0,0.013622290266389262
"Bradley County, Arkansas",05011,39565.0,18.5,403.0,4.4,175.0,0.994784465835615
"Calhoun County, Arkansas",05013,63654.0,9.9,112.0,7.2,144.0,0.3706921676782246
"Carroll County, Arkansas",05015,55187.0,11.5,864.0,3.9,477.0,0.17968161709070465
"Chicot County, Arkansas",05017,39683.0,16.1,388.0,8.5,314.0,1.4051392874224662
"Clark County, Arkansas",05019,50985.0,11.9,581.0,4.4,447.0,0.3547340992992343
"Clay County, Arkansas",05021,48500.0,13.7,544.0,6.3,418.0,0.7794182324321616
"Cleburne County, Arkansas",05023,55979.0,10.6,722.0,6.5,644.0,0.4658538453140215
"Cleveland County, Arkansas",05025,50509.0,10.9,213.0,2.3,65.0,0.010250314974266983
"Columbia County, Arkansas",05027,47363.0,19.1,1024.0,3.1,300.0,0.7042389439792073
"Conway County, Arkansas",05029,51212.0,15.2,865.0,6.7,622.0,0.878368581562364
"Craighead County, Arkansas",05031,57615.0,13.2,3811.0,6.0,3267.0,0.5314288877364346
"Crawford County, Arkansas",05033,60362.0,10.7,1789.0,5.2,1369.0,0.20884562819150942
"Crittenden County, Arkansas",05035,54271.0,16.2,1912.0,9.4,2088.0,1.2561478163805286
"Cross County, Arkansas",05037,47012.0,17.8,837.0,8.5,656.0,1.373173845050891
"Dallas County, Arkansas",05039,44694.0,9.5,146.0,8.5,237.0,0.8879127117256469
"Desha County, Arkansas",05041,36064.0,22.5,715.0,4.3,178.0,1.303348459723104
"Drew County, Arkansas",05043,41071.0,15.7,638.0,5.1,355.0,0.8838307449861307
"Faulkner County, Arkansas",05045,65071.0,9.9,3186.0,3.3,2025.0,-0.1946424979936966
"Franklin County, Arkansas",05047,51919.0,11.6,522.0,4.4,319.0,0.31768947198597314
"Fulton County, Arkansas",05049,38941.0,10.6,315.0,3.8,170.0,0.41978924483840085
"Garland County, Arkansas",05051,55409.0,11.7,3200.0,5.9,2656.0,0.4641797960270353
"Grant County, Arkansas",05053,72512.0,7.0,332.0,4.0,337.0,-0.425717880657553
