year,sample,treatment_mode,employment_mode,control_spec,obs,coef,stderr,pval
2021,all_ages,june_only,any_employed,none,12620,-0.0846547888384122,0.037514551831651734,0.02403399536201567
2021,all_ages,june_only,any_employed,covid,12620,-0.08462656821751498,0.03755958766825644,0.0242510634111201
2021,all_ages,june_only,any_employed,covid_stringency,12620,-0.0843523977029558,0.037448490901322615,0.024291245687823787
2021,prime_age,june_only,any_employed,none,7545,-0.10532645473898126,0.05759733360222705,0.06744921879142336
2021,prime_age,june_only,any_employed,covid,7545,-0.10481764385228035,0.05754066246681038,0.06851154979893352
2021,prime_age,june_only,any_employed,covid_stringency,7545,-0.10573495441731179,0.057458889366062735,0.06574116292777012
2021,no_college,june_only,any_employed,none,9349,-0.055279515900188037,0.04528588287225758,0.22220766819334836
2021,no_college,june_only,any_employed,covid,9349,-0.056024043321895416,0.04550291169098359,0.21824101724585732
2021,no_college,june_only,any_employed,covid_stringency,9349,-0.0559085373704804,0.04541126311520313,0.21826297356917135
2021,prime_age_no_college,june_only,any_employed,none,5529,-0.10280288920204847,0.08098808597614376,0.2043133454904943
2021,prime_age_no_college,june_only,any_employed,covid,5529,-0.10221874173859809,0.08097768227084218,0.20683813200226187
2021,prime_age_no_college,june_only,any_employed,covid_stringency,5529,-0.1036614578288849,0.0812373269996358,0.20194408130005193
2018,all_ages,june_only,any_employed,none,10410,0.06173317518822239,0.07109202836908948,0.385199583597857
2018,all_ages,june_only,any_employed,covid,10410,0.061733175188222314,0.07109546434349369,0.3852225511977332
2018,all_ages,june_only,any_employed,covid_stringency,10410,0.06173317518822233,0.07109890081614194,0.3852455207447403
2018,prime_age,june_only,any_employed,none,5937,0.20041899711433414,0.08711342474896407,0.021410450659242762
2018,prime_age,june_only,any_employed,covid,5937,0.2004189971143342,0.08712084212943198,0.021421533338813633
2018,prime_age,june_only,any_employed,covid_stringency,5937,0.2004189971143342,0.08712826140490883,0.02143262195782341
2018,no_college,june_only,any_employed,none,7981,0.015996034972250904,0.07885300309937113,0.8392453044645765
